"dool 1.3.6 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","webserver2",,,,"User:","pascal"
"Cmdline:","./dool -c -m -n --output final_LC_ws2.csv 1",,,,"Date:","12 Mar 2026 20:53:35 WIB"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","cach","avai","recv","send"
0.922,1.789,97.214,0.075,0,648167424,78712832,272523264,237961216,0,0
0,0,100,0,0,648142848,78712832,272547840,238006272,1600,1536
0,0,100,0,0,648142848,78712832,272547840,238006272,0,0
0,0,100,0,0,648142848,78712832,272547840,238006272,1120,592
0,0,100,0,0,648142848,78712832,272547840,238006272,0,0
0,0,100,0,0,648142848,78712832,272547840,238006272,4144,592
0,0,97.849,2.151,0,648142848,78712832,272547840,238030848,3024,0
0,0,100,0,0,648142848,78712832,272547840,238030848,1120,592
1.075,0,98.925,0,0,648142848,78712832,272547840,238030848,3024,0
0,0,100,0,0,648142848,78712832,272547840,238030848,1120,592
0,0,100,0,0,648142848,78712832,272547840,238030848,0,0
0,0,98.913,1.087,0,648142848,78712832,272547840,238030848,1120,592
1.075,0,98.925,0,0,648142848,78712832,272547840,238039040,3024,0
0,0,100,0,0,648142848,78712832,272547840,238039040,1600,1072
0,0,100,0,0,648142848,78712832,272547840,238039040,0,0
0,0,100,0,0,648142848,78712832,272547840,238039040,1120,592
3.297,9.890,85.714,1.099,0,646332416,77967360,275103744,239984640,34752,23536
71.233,27.397,1.370,0,0,645222400,77205504,276975616,240795648,161792,265904
81.481,17.284,1.235,0,0,646434816,75943936,277024768,239554560,252344,679552
83.333,16.667,0,0,0,648744960,73633792,277024768,237244416,236248,508544
78.947,21.053,0,0,0,653344768,69017600,277024768,232636416,273632,399728
81.818,18.182,0,0,0,653574144,68788224,277024768,232415232,262400,633560
84,16,0,0,0,653570048,68788224,277028864,232419328,186672,343032
78.571,21.429,0,0,0,653799424,68558848,277028864,232189952,359648,866464
83.784,16.216,0,0,0,654057472,68300800,277028864,231931904,197056,373496
75.309,24.691,0,0,0,655327232,67039232,277020672,230670336,286856,664624
77.500,22.500,0,0,0,659689472,62652416,277028864,226299904,265664,489424
81.333,18.667,0,0,0,662319104,62840832,274227200,222269440,193024,265176
77.500,22.500,0,0,0,664317952,82407424,252661760,217055232,283016,738008
80,20,0,0,0,670494720,76238848,252641280,210919424,278024,688168
80,20,0,0,0,673312768,73428992,252633088,208109568,258568,405600
84.286,15.714,0,0,0,675368960,71364608,252641280,206053376,166632,341984
76.829,23.171,0,0,0,679211008,67522560,252641280,202211328,283232,693536
81.013,18.987,0,0,0,683077632,63651840,252645376,198344704,248648,657840
69.136,30.864,0,0,0,682192896,73003008,244178944,198549504,248072,432008
74.359,25.641,0,0,0,688082944,67125248,244170752,192659456,245656,452136
83.333,16.667,0,0,0,693477376,61706240,244178944,187256832,175344,288696
67.901,32.099,0,0,0,693829632,69824512,235712512,186359808,213080,601024
78.205,21.795,0,0,0,696983552,66691072,235692032,183230464,301816,627672
78.481,21.519,0,0,0,701358080,62316544,235692032,178855936,282208,408600
65.789,34.211,0,0,0,702091264,69836800,227422208,177627136,189648,702048
81.013,18.987,0,0,0,708026368,63905792,227418112,171708416,263792,346480
70.513,29.487,0,0,0,705982464,73240576,220127232,172023808,221728,469856
82.192,17.808,0,0,0,710090752,71180288,218099712,167743488,176504,254752
80,20,0,0,0,713711616,67567616,218075136,164159488,194688,595096
84.615,15.385,0,0,0,716517376,64757760,218079232,161353728,268568,721920
77.500,22.500,0,0,0,718581760,62693376,218079232,159297536,343672,630376
73.418,26.582,0,0,0,717447168,71528448,210378752,159723520,259712,494016
82.895,17.105,0,0,0,721592320,67416064,210354176,155623424,210992,326720
81.579,18.421,0,0,0,724688896,64319488,210354176,152526848,237896,542032
66.667,33.333,0,0,0,720605184,83025920,195731456,155553792,191696,464040
73.973,26.027,0,0,0,724672512,79130624,195526656,151486464,234192,437592
80,20,0,0,0,729829376,73969664,195530752,146378752,208064,395984
84.932,15.068,0,0,0,735207424,68591616,195530752,141000704,185504,429488
77.215,22.785,0,0,0,739823616,63959040,195530752,136376320,219752,620424
77.215,22.785,0,0,0,743174144,60604416,195534848,132923392,238760,618792
75.641,24.359,0,0,0,743931904,68472832,186933248,131510272,286824,662584
81.707,18.293,0,0,0,748539904,63856640,186941440,126902272,355808,626264
77.632,22.368,0,0,0,750112768,64380928,184844288,125337600,197496,466544
76.543,23.457,0,0,0,754380800,62160896,182796288,121053184,248840,383776
74.359,25.641,0,0,0,753455104,70197248,175665152,121810944,197048,430584
81.013,18.987,0,0,0,756289536,67387392,175632384,119021568,235920,735360
81.013,18.987,0,0,0,761434112,62238720,175636480,113885184,251008,517128
75.325,24.675,0,0,0,761053184,71786496,166469632,114098176,269280,542096
82.500,17.500,0,0,0,765956096,66899968,166453248,109203456,265216,277992
83.544,16.456,0,0,0,770039808,62799872,166453248,105111552,185544,363624
73.418,26.582,0,0,0,769019904,79925248,150384640,105381888,222600,514240
78.378,21.622,0,0,0,774463488,74522624,150364160,99946496,191256,368864
79.452,20.548,0,0,0,777031680,71942144,150376448,97378304,207256,535696
81.818,18.182,0,0,0,780115968,68857856,150376448,94294016,230208,715168
83.750,16.250,0,0,0,785489920,63467520,150376448,88911872,258280,557536
63.415,36.585,0,0,0,778113024,81870848,139386880,95903744,298440,476384
76,24,0,0,0,783495168,77115392,138727424,90320896,270728,623576
81.013,18.987,0,0,0,787095552,73531392,138711040,86769664,244880,489560
79.487,20.513,0,0,0,791212032,69414912,138711040,82653184,234304,769512
85.366,14.634,0,0,0,793001984,67608576,138711040,80855040,262728,486000
83.333,16.667,0,0,0,795324416,65286144,138711040,78532608,281496,405296
71.795,28.205,0,0,0,794464256,70758400,134098944,79081472,212520,460568
78.571,21.429,0,0,0,795881472,77017088,126402560,77373440,187920,706720
87.013,12.987,0,0,0,799731712,73162752,126406656,73523200,292224,535048
79.221,20.779,0,0,0,804118528,68775936,126406656,69136384,261312,578248
83.333,16.667,0,0,0,807690240,65204224,126406656,65564672,264192,490608
85.714,14.286,0,0,0,810770432,62107648,126406656,62476288,259184,401104
73.077,26.923,0,0,0,806141952,72957952,120184832,69705728,217744,474104
86.301,13.699,0,0,0,809328640,69632000,120336384,66461696,142184,333344
75,25,0,0,0,813535232,63967232,121794560,61505536,193592,815488
67.949,32.051,0,0,0,812474368,72241152,114581504,66605056,231088,768416
80.247,19.753,0,0,0,811970560,77455360,109858816,70217728,271600,299544
80.488,19.512,0,0,0,815575040,73859072,109850624,66621440,288816,599720
