"dool 1.3.6 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","webserver1",,,,"User:","pascal"
"Cmdline:","./dool -c -m -n --output LC_NewTestCase_800T_1200R_ws1.csv",,,,"Date:","15 May 2026 22:02:24 WIB"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","cach","avai","recv","send"
6.429,1.444,92.041,0.085,0,637300736,208551936,152985600,249405440,0,0
0,0,100,0,0,637231104,208551936,153055232,249413632,1600,1536
0,0,100,0,0,637231104,208551936,153055232,249413632,0,0
0,0,100,0,0,637231104,208551936,153055232,249413632,1120,592
0,0,100,0,0,637231104,208551936,153055232,249413632,12608,0
0,0,100,0,0,637231104,208551936,153055232,249413632,2080,1552
5.618,0,94.382,0,0,637231104,208551936,153055232,249421824,34960,107584
5,0.556,94.444,0,0,637231104,208551936,153055232,249421824,36672,108176
4.145,0.518,95.337,0,0,637231104,208551936,153055232,249421824,45368,21728
9.524,1.058,89.418,0,0,637231104,208551936,153055232,249421824,177536,314200
7.937,0.529,91.534,0,0,637231104,208551936,153055232,249421824,208040,357192
7.330,1.571,91.099,0,0,637231104,208551936,153055232,249425920,202784,323568
1.523,0,98.477,0,0,637489152,208293888,153055232,249171968,112104,168464
6.842,1.053,92.105,0,0,637489152,208293888,153055232,249171968,148424,276816
12.903,2.688,84.409,0,0,637489152,208293888,153055232,249171968,500928,750304
1.058,1.058,97.884,0,0,637485056,208293888,153059328,249171968,199264,181464
15.508,3.743,80.749,0,0,637493248,208293888,153051136,249176064,438176,720296
9.278,2.062,88.660,0,0,637485056,208293888,153059328,249184256,418032,481136
9.341,2.198,88.462,0,0,637485056,208293888,153059328,249184256,359104,410760
6.417,3.209,90.374,0,0,637485056,208293888,153059328,249184256,264288,403296
8.889,1.111,90,0,0,637485056,208293888,153059328,249184256,644656,717408
10.929,2.186,86.339,0.546,0,637493248,208293888,153051136,249184256,512904,573320
5.946,1.622,92.432,0,0,637485056,208293888,153059328,249192448,419776,480584
15.847,3.279,80.874,0,0,637480960,208293888,153063424,249196544,563568,773928
17.877,2.793,79.330,0,0,637480960,208293888,153063424,249196544,602952,796736
15.707,3.141,81.152,0,0,637480960,208293888,153063424,249196544,686536,620112
19.429,1.714,78.857,0,0,637480960,208293888,153063424,249196544,687376,1052088
15.470,2.210,82.320,0,0,637480960,208293888,153063424,249204736,597248,757568
24.725,5.495,69.780,0,0,637706240,208064512,153067520,248979456,1167840,1261952
