"dool 1.3.6 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","webserver2",,,,"User:","pascal"
"Cmdline:","./dool -c -m -n --output cobalg_RR_ws2.csv 1",,,,"Date:","12 Mar 2026 23:52:16 WIB"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","cach","avai","recv","send"
11.443,2.929,85.583,0.044,0,479215616,394838016,125243392,402923520,0,0
1.042,0,98.958,0,0,479203328,394838016,125255680,402939904,4624,1536
0,0,100,0,0,479203328,394838016,125255680,402939904,3024,0
0,0,100,0,0,479203328,394838016,125255680,402939904,1120,592
0,0,100,0,0,479203328,394838016,125255680,402939904,3024,0
0,0,100,0,0,479203328,394838016,125255680,402939904,1120,592
0,0,100,0,0,479203328,394838016,125255680,402952192,0,0
0,0,100,0,0,479203328,394838016,125255680,402952192,1120,592
0,0,100,0,0,479203328,394838016,125255680,402952192,3024,0
0,0,100,0,0,479203328,394838016,125255680,402952192,1120,592
0,0,100,0,0,479203328,394838016,125255680,402952192,0,0
0,0,97.917,2.083,0,479203328,394838016,125255680,402960384,1120,592
0,0,100,0,0,479203328,394838016,125255680,402960384,480,480
0,0,100,0,0,479203328,394838016,125255680,402960384,1120,592
0,0,100,0,0,479203328,394838016,125255680,402960384,0,0
0,0,100,0,0,479203328,394838016,125255680,402960384,1120,592
1.031,0,98.969,0,0,479203328,394838016,125255680,402960384,3024,0
0,0,100,0,0,479203328,394838016,125255680,402960384,4144,592
0,0,100,0,0,479203328,394838016,125255680,402968576,0,0
0,0,100,0,0,479203328,394838016,125255680,402968576,4144,592
0,0,100,0,0,479203328,394838016,125255680,402968576,0,0
0,0,100,0,0,479203328,394838016,125255680,402968576,1120,592
0,0,100,0,0,479203328,394838016,125255680,402976768,0,0
0,0,100,0,0,479203328,394838016,125255680,402976768,4624,2480
0,0,100,0,0,479203328,394838016,125255680,402976768,0,0
0,0,100,0,0,479203328,394838016,125255680,402976768,1120,592
0,0,98.958,1.042,0,479203328,394838016,125255680,402976768,0,0
0,0,100,0,0,479203328,394838016,125255680,402976768,1120,592
1.031,0,98.969,0,0,479203328,394838016,125255680,402976768,480,480
0,0,100,0,0,479203328,394838016,125255680,402976768,1120,592
0,1.042,98.958,0,0,479203328,394838016,125255680,402984960,0,0
0,0,100,0,0,479203328,394838016,125255680,402984960,4144,592
0,0,100,0,0,479203328,394838016,125255680,402993152,3024,0
12.766,3.191,84.043,0,0,479203328,394838016,125255680,402993152,75480,123648
